Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Main Switchboard,Steel Frame / Chassis,930.39,Carbon Steel,95.0,Stainless Steel,2.8,31.0,Welded,1.0
Main Switchboard,Withdrawable Circuit Breakers,39.77,Carbon Steel,55.6,Copper,24.1,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,888.81,Carbon Steel,95.0,Stainless Steel,2.9,33.0,Welded,1.0
Main Switchboard,Copper Busbar System,228.72,Copper,97.9,Carbon Steel,1.0,21.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,20.01,FR4 Composite,45.2,Copper,26.2,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,18.04,Tinned Copper,91.7,Carbon Steel,3.9,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,30.19,Carbon Steel,84.9,Polyamide,8.1,23.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,17.6,Cu-ETP Copper,53.4,Silver-Tin Oxide,18.6,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,14.29,FR4 Composite,42.2,Copper,29.7,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,11.7,Polyamide,67.1,Polycarbonate,21.4,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Control Wiring Harness,15.1,Copper,65.1,PVC,29.2,14.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Circuit Breakers,40.07,Carbon Steel,52.9,Copper,24.3,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,15.09,Copper,68.4,PVC,27.3,17.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,10.86,Polyamide,72.9,Polycarbonate,23.0,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Door Panels and Covers,28.68,Carbon Steel,92.8,Polyamide,8.3,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,20.55,PC/ABS Blend,46.2,Copper,27.7,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Circuit Breakers,34.75,Carbon Steel,52.5,Copper,23.9,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,18.17,Copper,96.6,Carbon Steel,3.8,33.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,12.69,PC/ABS Blend,43.1,Copper,34.5,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,224.63,Copper,99.0,Carbon Steel,1.0,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,18.85,Cu-ETP Copper,51.0,Silver-Tin Oxide,20.2,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,893.6,Carbon Steel,91.1,Stainless Steel,3.1,25.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,14.42,FR4 Composite,39.7,Copper,34.9,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,217.36,Copper,99.0,Carbon Steel,1.0,24.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,844.24,Carbon Steel,95.0,Stainless Steel,2.9,23.0,Welded,1.0
Main Switchboard,Earthing and Grounding Bars,16.5,Copper,90.5,Carbon Steel,4.0,26.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,29.24,Galvanized Steel,86.0,Polyamide,8.2,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,22.39,FR4 Composite,50.0,Copper,26.3,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Circuit Breakers,41.76,Carbon Steel,57.0,Copper,23.1,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,19.86,Copper,47.2,Silver-Tin Oxide,19.7,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.4,Polyamide,72.1,Polycarbonate,23.6,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Control Wiring Harness,16.4,Copper,65.3,PVC,32.5,13.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Circuit Breakers,37.8,Carbon Steel,56.6,Copper,25.9,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,14.06,FR4 Composite,43.9,Copper,34.0,18.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,18.97,Copper,49.1,Silver-Tin Oxide,19.0,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,29.03,Carbon Steel,89.9,Polyamide,7.8,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,16.43,Copper,61.4,PVC,29.6,16.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,12.55,Polyamide,70.5,Polycarbonate,22.1,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,866.48,Fabricated Steel,92.3,Stainless Steel,3.2,32.0,Welded,1.0
Main Switchboard,PLC and Logic Assemblies,22.24,FR4 Composite,45.2,Copper,28.5,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,18.1,Copper,99.0,Carbon Steel,3.8,26.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,218.15,Copper,97.7,Carbon Steel,1.0,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,27.62,Galvanized Steel,83.5,Polyamide,7.8,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,242.43,Copper,92.7,Carbon Steel,1.1,20.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,17.57,Copper,90.1,Carbon Steel,3.9,35.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.33,FR4 Composite,39.6,Copper,34.0,17.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,15.55,Copper,61.8,PVC,27.9,17.0,Extruded / Stranded,2.0
Main Switchboard,PLC and Logic Assemblies,21.61,FR4 Composite,48.5,Copper,27.8,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Circuit Breakers,34.48,Carbon Steel,52.1,Copper,26.1,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,868.21,Carbon Steel,92.4,Stainless Steel,3.2,32.0,Welded,1.0
Main Switchboard,Withdrawable Contactors,19.44,Copper,49.3,Silver-Tin Oxide,18.6,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,11.43,Polycarbonate,71.3,Polycarbonate,23.5,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Protection Relays and Meters,13.83,FR4 Composite,41.8,Copper,29.2,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,217.43,Copper,92.7,Carbon Steel,1.0,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,34.38,Carbon Steel,57.9,Copper,27.0,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,16.95,Cu-ETP Copper,65.8,PVC,31.0,16.0,Extruded / Stranded,2.0
Main Switchboard,Door Panels and Covers,29.12,Fabricated Steel,85.1,Polyamide,8.7,33.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,934.96,Carbon Steel,90.1,Stainless Steel,2.9,27.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,11.67,Polyamide,74.0,Polycarbonate,23.6,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,PLC and Logic Assemblies,22.42,FR4 Composite,48.8,Copper,27.3,13.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Contactors,18.23,Copper,51.6,Silver-Tin Oxide,20.1,8.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,16.57,Copper,90.7,Carbon Steel,3.8,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,14.91,Copper,67.6,PVC,29.9,14.0,Extruded / Stranded,2.0
Main Switchboard,Steel Frame / Chassis,867.75,Carbon Steel,98.4,Stainless Steel,3.0,28.0,Welded,1.0
Main Switchboard,Copper Busbar System,219.02,Copper,94.2,Carbon Steel,1.0,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,20.0,Copper,47.0,Silver-Tin Oxide,21.2,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,23.13,FR4 Composite,48.8,Copper,27.6,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Insulation Panels and Barriers,11.17,Polyamide,66.4,Polycarbonate,21.2,16.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Door Panels and Covers,29.48,Fabricated Steel,83.0,Polyamide,7.7,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,13.67,FR4 Composite,43.7,Copper,32.2,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,17.44,Copper,99.0,Carbon Steel,3.8,25.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,37.27,Carbon Steel,56.4,Copper,23.9,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.0,Polyamide,72.3,Polycarbonate,21.4,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Contactors,19.88,Copper,48.5,Silver-Tin Oxide,19.3,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,12.52,FR4 Composite,40.5,Copper,31.0,17.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,26.38,Carbon Steel,89.6,Polyamide,7.6,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,241.77,Copper,95.6,Carbon Steel,1.0,27.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,17.22,Copper,62.6,PVC,29.2,16.0,Extruded / Stranded,2.0
Main Switchboard,Earthing and Grounding Bars,16.83,Copper,91.6,Carbon Steel,4.2,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,22.13,FR4 Composite,48.0,Copper,26.5,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Circuit Breakers,39.36,Carbon Steel,58.2,Copper,23.3,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,926.06,Fabricated Steel,93.5,Stainless Steel,3.0,32.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,12.72,Polyamide,68.1,Polycarbonate,21.6,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,PLC and Logic Assemblies,22.48,FR4 Composite,47.1,Copper,27.5,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,225.37,Copper,92.3,Carbon Steel,1.0,25.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,18.27,Copper,50.4,Silver-Tin Oxide,19.0,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,26.15,Carbon Steel,85.8,Polyamide,7.3,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,911.26,Carbon Steel,93.1,Stainless Steel,3.1,27.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,14.16,FR4 Composite,44.5,Copper,29.6,17.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,16.97,Copper,91.3,Carbon Steel,3.9,25.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,40.48,Carbon Steel,54.4,Copper,26.5,15.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,17.43,Copper,64.6,PVC,28.2,14.0,Extruded / Stranded,2.0
Main Switchboard,Control Wiring Harness,15.95,Copper,65.1,PVC,31.0,17.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Contactors,18.6,Copper,48.6,Silver-Tin Oxide,18.4,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,35.42,Carbon Steel,54.3,Copper,23.5,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,12.91,FR4 Composite,41.3,Copper,29.4,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,224.89,Copper,99.0,Carbon Steel,1.0,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,943.97,Carbon Steel,98.8,Stainless Steel,3.0,29.0,Welded,1.0
Main Switchboard,PLC and Logic Assemblies,19.83,PC/ABS Blend,44.4,Copper,29.9,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Door Panels and Covers,27.05,Carbon Steel,83.0,Polyamide,7.9,28.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,17.48,Copper,92.8,Carbon Steel,3.7,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,12.39,Polyamide,70.7,Polycarbonate,22.8,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Protection Relays and Meters,14.55,FR4 Composite,39.8,Copper,30.9,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,953.38,Carbon Steel,95.0,Stainless Steel,3.1,32.0,Welded,1.0
Main Switchboard,Withdrawable Contactors,19.65,Copper,49.3,Silver-Tin Oxide,18.2,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,17.55,Tinned Copper,93.7,Carbon Steel,4.3,35.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,27.49,Carbon Steel,87.8,Polyamide,7.4,23.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,16.27,Copper,68.3,PVC,30.9,16.0,Extruded / Stranded,2.0
Main Switchboard,PLC and Logic Assemblies,22.46,FR4 Composite,50.0,Copper,30.5,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,241.02,Copper,99.0,Carbon Steel,1.1,25.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,10.92,Polyamide,69.8,Polycarbonate,20.5,16.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Circuit Breakers,37.42,Carbon Steel,51.9,Copper,27.0,15.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,40.18,Carbon Steel,54.2,Copper,25.6,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,28.67,Carbon Steel,91.1,Polyamide,8.3,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,16.66,Copper,51.7,Silver-Tin Oxide,19.1,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,13.57,Epoxy Resin,39.9,Copper,34.1,16.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,12.69,Polyamide,69.5,Polycarbonate,20.3,18.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Control Wiring Harness,15.45,Copper,68.7,PVC,27.7,13.0,Extruded / Stranded,2.0
Main Switchboard,Copper Busbar System,240.24,Copper,94.1,Carbon Steel,1.0,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,901.75,Carbon Steel,91.8,Stainless Steel,3.2,29.0,Welded,1.0
Main Switchboard,PLC and Logic Assemblies,19.56,FR4 Composite,49.0,Copper,29.0,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,18.04,Copper,95.3,Carbon Steel,3.8,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,943.46,Carbon Steel,94.3,Stainless Steel,2.9,26.0,Welded,1.0
Main Switchboard,Withdrawable Contactors,19.51,Copper,51.5,Silver-Tin Oxide,18.5,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,28.23,Carbon Steel,88.4,Polyamide,7.4,25.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,13.17,FR4 Composite,44.3,Copper,32.8,18.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,15.84,Copper,99.0,Carbon Steel,4.3,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,220.44,Copper,99.0,Carbon Steel,1.1,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,20.85,FR4 Composite,47.2,Copper,28.7,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Insulation Panels and Barriers,11.87,FR Plastics,63.9,Polycarbonate,23.0,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Circuit Breakers,33.87,Carbon Steel,57.4,Copper,24.2,15.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,17.47,Copper,62.3,PVC,31.5,13.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Contactors,16.71,Cu-ETP Copper,50.1,Silver-Tin Oxide,20.8,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,16.29,Copper,66.8,PVC,27.7,13.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Circuit Breakers,36.68,Carbon Steel,56.5,Copper,24.4,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,840.56,Carbon Steel,95.0,Stainless Steel,3.2,23.0,Welded,1.0
Main Switchboard,PLC and Logic Assemblies,21.45,FR4 Composite,49.2,Copper,27.2,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Protection Relays and Meters,14.16,FR4 Composite,43.9,Copper,33.4,17.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,16.5,Copper,96.6,Carbon Steel,3.7,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,25.92,Carbon Steel,89.8,Polyamide,8.0,33.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,12.15,Polyamide,66.5,Polycarbonate,21.8,16.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Copper Busbar System,239.04,Copper,93.9,Carbon Steel,1.0,23.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,16.38,Copper,65.4,PVC,31.7,17.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Circuit Breakers,36.34,Carbon Steel,51.8,Copper,23.5,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,19.37,FR4 Composite,48.6,Copper,25.8,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Door Panels and Covers,28.82,Carbon Steel,84.2,Polyamide,7.8,23.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,13.12,FR Plastics,65.1,Polycarbonate,20.5,18.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Copper Busbar System,217.85,Copper,94.7,Carbon Steel,1.0,24.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,16.7,Copper,99.0,Carbon Steel,4.3,28.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,941.27,Carbon Steel,98.7,Stainless Steel,3.1,30.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,12.92,FR4 Composite,41.6,Copper,33.5,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,18.4,Copper,52.6,Silver-Tin Oxide,18.4,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,837.95,Carbon Steel,98.9,Stainless Steel,3.1,28.0,Welded,1.0
Main Switchboard,Door Panels and Covers,26.74,Carbon Steel,85.8,Polyamide,7.7,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,15.33,Copper,68.8,PVC,30.9,14.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Circuit Breakers,40.16,Carbon Steel,52.4,Copper,26.9,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.1,Polyamide,66.1,Polycarbonate,22.9,16.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Earthing and Grounding Bars,17.38,Copper,96.1,Carbon Steel,4.2,35.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.27,FR4 Composite,43.7,Copper,32.8,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,234.38,Copper,93.2,Carbon Steel,1.0,27.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,17.35,Copper,52.6,Silver-Tin Oxide,20.0,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,21.69,FR4 Composite,47.8,Copper,28.2,10.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Frame / Housing,2632.94,Cast Iron,84.9,Carbon Steel,6.4,27.0,Welded,0.0
Marine Diesel Generator Alternator,Rotor Windings,918.36,Copper,72.5,Epoxy Resin,23.0,16.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1188.41,Alloy Steel,94.4,None,0.0,27.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Terminal Box,102.72,Carbon Steel,72.2,Copper,18.6,24.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Bearings,152.89,Chromium Steel,82.1,Aluminum Alloy,10.5,8.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,215.25,Aluminum Alloy,86.5,Carbon Steel,7.8,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,127.22,Epoxy Resin,64.7,Polyester Resin,27.7,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Slip Rings,76.41,Copper,58.5,Stainless Steel,30.8,9.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Stator Core,4693.74,Electrical Steel,88.6,Epoxy Resin,4.6,27.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1898.3,Copper,82.5,Epoxy Resin,19.3,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,98.56,Carbon Steel,71.7,Copper,20.7,21.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Frame / Housing,2649.13,Cast Iron,90.4,Carbon Steel,6.6,30.0,Welded,0.0
Marine Diesel Generator Alternator,Stator Core,4623.32,Electrical Steel,96.7,Epoxy Resin,5.2,22.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1736.74,Copper,80.5,Epoxy Resin,16.4,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Windings,954.91,Copper,71.1,Epoxy Resin,20.1,17.0,Chemically Bonded / Cast,2.0
